"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240","Verify 25 CV limit for parsing without formatting","chromium","Sun Feb 02 13:14:39 GMT 2025","failed","Sun Feb 02 13:14:39 GMT 2025","","12_uploading_cv_limit.spec.ts","",""
"","244","Complete full CV validation","chromium","Sun Feb 02 13:14:37 GMT 2025","failed","Sun Feb 02 13:14:38 GMT 2025","","11_complete_cv_validation.spec.ts","",""
"","258","Modify autocomplete text box","chromium","Sun Feb 02 13:14:36 GMT 2025","failed","Sun Feb 02 13:14:36 GMT 2025","","10_modify_autocomplete_field.spec.ts","",""
"","253","Validate individual field","chromium","Sun Feb 02 13:14:27 GMT 2025","failed","Sun Feb 02 13:14:27 GMT 2025","","05_individual_field.spec.ts","",""
"","236","Validate visibility of CVs within organization","chromium","Sun Feb 02 13:14:46 GMT 2025","failed","Sun Feb 02 13:14:46 GMT 2025","","16_validate_visibility_in_organization.spec.ts","",""
"","241","Upload a CV","chromium","Sun Feb 02 13:14:24 GMT 2025","failed","Sun Feb 02 13:14:24 GMT 2025","","03_cv_uploading.spec.ts","",""
"","25473","As a new user signup for Trial","chromium","Sun Feb 02 13:15:56 GMT 2025","failed","Sun Feb 02 13:16:22 GMT 2025","","registration.spec.ts","",""
"","212","Validate formatted CV downloading","chromium","Sun Feb 02 13:14:43 GMT 2025","failed","Sun Feb 02 13:14:43 GMT 2025","","14_validate_downloading_formatted_cv.spec.ts","",""
"","260","Validate synchronized navigation between three sections","chromium","Sun Feb 02 13:14:48 GMT 2025","failed","Sun Feb 02 13:14:48 GMT 2025","","18_validate_synchronized_navigation.spec.ts","",""
"","252","Validate whole section","chromium","Sun Feb 02 13:14:29 GMT 2025","failed","Sun Feb 02 13:14:29 GMT 2025","","06_section.spec.ts","",""
"","25558","As a new user signup for Trial","chromium","Sun Feb 02 13:12:37 GMT 2025","failed","Sun Feb 02 13:13:02 GMT 2025","","01_registration.spec.ts","",""
"","242","Open validation screen","chromium","Sun Feb 02 13:14:25 GMT 2025","failed","Sun Feb 02 13:14:26 GMT 2025","","04_validation_screen.spec.ts","",""
"","235","Validate CV formatting after validation","chromium","Sun Feb 02 13:14:41 GMT 2025","failed","Sun Feb 02 13:14:41 GMT 2025","","13_validate_cv_formatting.spec.ts","",""
"","248","Validate CV deletion","chromium","Sun Feb 02 13:14:44 GMT 2025","failed","Sun Feb 02 13:14:45 GMT 2025","","15_delete_cv.spec.ts","",""
"","282","Modify rich text box","chromium","Sun Feb 02 13:14:34 GMT 2025","failed","Sun Feb 02 13:14:34 GMT 2025","","09_modify_textarea.spec.ts","",""
"","256","Modify text field","chromium","Sun Feb 02 13:14:30 GMT 2025","failed","Sun Feb 02 13:14:31 GMT 2025","","07_modify_individual_field.spec.ts","",""
"","25824","Testing login on the cvreformatter page","chromium","Sun Feb 02 13:13:56 GMT 2025","failed","Sun Feb 02 13:14:22 GMT 2025","","02_login.spec.ts","",""
"","2924","Testing login on the cvreformatter page","chromium","Sun Feb 02 13:15:00 GMT 2025","failed","Sun Feb 02 13:15:03 GMT 2025","","login.spec.ts","",""
"","246","Modify dropdown box","chromium","Sun Feb 02 13:14:32 GMT 2025","failed","Sun Feb 02 13:14:32 GMT 2025","","08_modify_dropdown.spec.ts","",""
